,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,15602.8,"15,760.41",16265.95,2025-03-11,15934.375
3,CAD,CANADIAN DOLLAR,17220.36,"17,394.31",17952.25,2025-03-11,17586.305
4,CHF,SWISS FRANC,28217.75,"28,502.78",29417.04,2025-03-11,28817.395
5,CNY,CHINESE YUAN,3433.35,"3,468.03",3579.28,2025-03-11,3506.315
7,EUR,EURO,27051.15,"27,324.39",28534.27,2025-03-11,27792.71
8,GBP,UK POUND STERLING,32076.71,"32,400.71",33440.01,2025-03-11,32758.36
9,HKD,HONG KONG DOLLAR,3185.9,"3,218.08",3341.3,2025-03-11,3263.6000000000004
11,JPY,JAPANESE YEN,167.1,168.79,177.73,2025-03-11,172.415
12,KRW,KOREAN WON,15.16,16.84,18.27,2025-03-11,16.715
19,SGD,SINGAPORE DOLLAR,18641.45,"18,829.75",19472.65,2025-03-11,19057.050000000003
20,THB,THAI BAHT,663.79,737.54,768.85,2025-03-11,716.3199999999999
21,USD,US DOLLAR,25260.0,"25,290.00",25650.0,2025-03-11,25455.0
