,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,16046.6,"16,208.68",16728.64,2024-11-22,16387.62
3,CAD,CANADIAN DOLLAR,17687.79,"17,866.46",18439.6,2024-11-22,18063.695
4,CHF,SWISS FRANC,27837.96,"28,119.15",29021.19,2024-11-22,28429.574999999997
5,CNY,CHINESE YUAN,3419.82,"3,454.37",3565.18,2024-11-22,3492.5
7,EUR,EURO,25732.54,"25,992.46",27143.43,2024-11-22,26437.985
8,GBP,UK POUND STERLING,31022.76,"31,336.12",32341.35,2024-11-22,31682.055
9,HKD,HONG KONG DOLLAR,3183.9,"3,216.06",3319.23,2024-11-22,3251.565
11,JPY,JAPANESE YEN,158.58,160.19,167.8,2024-11-22,163.19
12,KRW,KOREAN WON,15.64,17.37,18.85,2024-11-22,17.245
19,SGD,SINGAPORE DOLLAR,18377.68,"18,563.31",19158.8,2024-11-22,18768.239999999998
20,THB,THAI BAHT,649.08,721.20,748.82,2024-11-22,698.95
21,USD,US DOLLAR,25170.0,"25,200.00",25509.0,2024-11-22,25339.5
