,name,karat,gold_content,buy_price,sell_price,world_price,time
6,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,8530000,8700000,0,22/11/2024 16:08
13,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,8500000,8670000,0,22/11/2024 09:55
26,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,8470000,8650000,0,22/11/2024 08:59
20,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,8470000,8650000,0,22/11/2024 09:53
0,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 16:08
9,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 09:55
16,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 09:53
15,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,8523000,8618000,0,22/11/2024 09:53
1,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,8523000,8618000,0,22/11/2024 16:08
14,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 09:53
8,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,8523000,8618000,0,22/11/2024 09:55
7,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 09:55
2,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,8523000,8618000,0,22/11/2024 16:08
23,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,8508000,8603000,0,22/11/2024 08:59
25,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,8508000,8603000,0,22/11/2024 08:59
21,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,8508000,8603000,0,22/11/2024 08:59
4,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,8460000,8600000,0,22/11/2024 16:08
18,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,8460000,8600000,0,22/11/2024 09:53
11,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,8460000,8600000,0,22/11/2024 09:55
19,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,8450000,8590000,0,22/11/2024 09:53
12,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,8450000,8590000,0,22/11/2024 09:55
5,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,8450000,8590000,0,22/11/2024 16:08
27,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,8445000,8585000,0,22/11/2024 08:59
24,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,8435000,8575000,0,22/11/2024 08:59
22,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,8405000,0,0,22/11/2024 08:59
3,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,8420000,0,0,22/11/2024 16:08
17,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,8420000,0,0,22/11/2024 09:53
10,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,8420000,0,0,22/11/2024 09:55
