,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,15757.88,"15,917.05",16427.69,2024-12-14,16092.785
3,CAD,CANADIAN DOLLAR,17407.27,"17,583.10",18147.18,2024-12-14,17777.225
4,CHF,SWISS FRANC,27761.44,"28,041.86",28941.47,2024-12-14,28351.455
5,CNY,CHINESE YUAN,3405.78,"3,440.18",3550.54,2024-12-14,3478.16
7,EUR,EURO,25927.37,"26,189.27",27349.0,2024-12-14,26638.184999999998
8,GBP,UK POUND STERLING,31362.32,"31,679.11",32695.41,2024-12-14,32028.864999999998
9,HKD,HONG KONG DOLLAR,3184.03,"3,216.19",3319.37,2024-12-14,3251.7
11,JPY,JAPANESE YEN,160.34,161.96,169.67,2024-12-14,165.005
12,KRW,KOREAN WON,15.34,17.05,18.5,2024-12-14,16.92
19,SGD,SINGAPORE DOLLAR,18383.24,"18,568.93",19164.64,2024-12-14,18773.940000000002
20,THB,THAI BAHT,661.31,734.78,762.92,2024-12-14,712.115
21,USD,US DOLLAR,25147.0,"25,177.00",25477.0,2024-12-14,25312.0
