,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,16653.26,"16,821.47",17360.14,2025-10-22,17006.699999999997
3,CAD,CANADIAN DOLLAR,18326.89,"18,512.02",19104.81,2025-10-22,18715.85
4,CHF,SWISS FRANC,32275.33,"32,601.34",33645.31,2025-10-22,32960.32
5,CNY,CHINESE YUAN,3606.04,"3,642.46",3759.1,2025-10-22,3682.5699999999997
7,EUR,EURO,29794.08,"30,095.03",31364.74,2025-10-22,30579.410000000003
8,GBP,UK POUND STERLING,34333.55,"34,680.35",35790.89,2025-10-22,35062.22
9,HKD,HONG KONG DOLLAR,3295.0,"3,328.29",3455.54,2025-10-22,3375.27
11,JPY,JAPANESE YEN,167.73,169.42,178.38,2025-10-22,173.055
12,KRW,KOREAN WON,15.94,17.71,19.21,2025-10-22,17.575
19,SGD,SINGAPORE DOLLAR,19770.52,"19,970.22",20650.98,2025-10-22,20210.75
20,THB,THAI BAHT,707.66,786.28,819.62,2025-10-22,763.64
21,USD,US DOLLAR,26123.0,"26,153.00",26353.0,2025-10-22,26238.0
