time,open,high,low,close,volume,MFI,RSI
2023-03-13,48.56,49.37,48.56,49.06,887883,18.016822912015044,33.242310466492725
2023-03-14,49.12,49.18,48.81,48.94,428257,18.641246084709692,32.16558010257505
2023-03-15,49.18,50.05,49.18,50.05,693264,26.90032602928872,48.71355264085869
2023-03-16,49.74,49.74,48.75,49.25,850831,26.13901286262876,40.95841500699904
2023-03-17,49.5,49.74,48.87,49.12,430362,27.82966286992496,39.84825130705692
2023-03-20,49.18,49.31,48.25,48.25,771192,25.71807537874865,33.3361655833735
2023-03-21,48.87,48.94,47.94,48.56,537316,28.1319322051084,37.26997594466443
2023-03-22,48.62,48.87,48.25,48.81,611402,29.41955692941133,40.32810599762797
2023-03-23,48.75,48.81,48.25,48.5,357327,30.694403717611095,37.8631796489895
2023-03-24,48.69,49.0,48.5,48.87,367884,36.603048130436946,42.38927960452849
2023-03-27,49.06,49.25,48.81,49.18,768784,36.400685129678706,45.94214364157129
2023-03-28,49.25,49.25,48.19,49.25,1001517,34.439026370480036,46.74085616189884
2023-03-29,49.25,49.31,48.87,49.12,405351,32.592574550899,45.399294100263035
2023-03-30,49.12,49.31,49.0,49.18,409438,38.324220508205904,46.16727958852916
2023-03-31,49.18,49.43,49.12,49.18,672646,47.44045413553274,46.16727958852916
2023-04-03,49.37,50.3,49.18,50.3,1172390,56.5994431577816,58.73314197179807
2023-04-04,50.3,50.37,49.74,50.05,585746,56.08792857650304,55.61262848837292
2023-04-05,50.05,50.12,49.56,50.12,423371,58.86957046990072,56.312538735395506
2023-04-06,50.18,50.68,49.93,49.93,614350,64.7437962752174,53.8313574355844
2023-04-07,49.87,50.18,49.74,50.05,360755,67.82401723152716,55.174706456083804
2023-04-10,50.37,50.37,49.81,49.93,771039,74.96374084844794,53.498348289848636
2023-04-11,49.87,50.05,49.81,49.93,534886,68.39733092074945,53.498348289848636
2023-04-12,49.93,50.05,49.68,49.93,575815,66.58454487662206,53.498348289848636
2023-04-13,49.93,49.99,49.31,49.5,542069,61.135515460308525,47.09453636533971
2023-04-14,49.68,49.81,49.31,49.5,399536,54.77312180152011,47.09453636533971
2023-04-17,49.5,49.56,49.12,49.5,450882,58.485199439928465,47.09453636533971
2023-04-18,49.5,49.74,49.25,49.37,302472,57.95755318355349,45.05796912008867
2023-04-19,49.62,49.62,49.31,49.31,420463,52.695634697909945,44.10986392059647
2023-04-20,49.62,49.62,49.25,49.37,365619,48.30110694176021,45.34829910344059
2023-04-21,49.74,49.74,49.31,49.31,324840,41.3105802451708,44.291379377167495
2023-04-24,49.43,50.12,49.12,49.18,795812,43.130806583281,42.00694401408527
2023-04-25,49.18,49.31,48.69,48.75,541028,42.43369847824393,35.48706499502222
2023-04-26,48.56,48.75,48.25,48.69,772857,32.41689513512195,34.67826108999611
2023-04-27,48.56,49.0,48.56,48.69,221966,36.4172262140838,34.67826108999611
2023-04-28,49.0,49.0,48.19,48.19,946202,24.15496834673482,28.418444826902018
2023-05-04,48.38,48.94,48.25,48.81,498526,31.600677339879724,42.321870263525454
2023-05-05,48.87,48.87,48.62,48.75,320239,37.76131487352317,41.48216601214935
2023-05-08,48.81,49.06,48.75,48.81,364297,44.576197041028514,42.706366503328816
2023-05-09,48.87,49.62,48.87,49.06,607003,52.463628372153636,47.62310900778974
2023-05-10,49.12,49.5,49.12,49.12,633179,60.48247591192885,48.75963465727446
2023-05-11,49.18,49.5,49.12,49.18,477378,61.48004881798376,49.92968495913048
2023-05-12,49.31,50.12,49.0,50.05,1085041,70.49332201294726,63.09050842852173
2023-05-15,50.61,50.86,50.24,50.37,936340,73.81806439019756,66.57100687930799
2023-05-16,50.37,50.8,50.24,50.68,768209,75.16674588783917,69.56513989830565
2023-05-17,50.93,51.42,50.43,50.68,977785,75.73409125573366,69.56513989830565
2023-05-18,50.86,51.61,50.61,51.55,1552354,83.51411098618937,76.43492983542461
2023-05-19,51.61,51.8,50.86,51.49,1075113,91.24123630216637,75.1746692474376
2023-05-22,51.49,51.49,50.99,51.3,562355,86.20919324395244,71.17274177213847
2023-05-23,51.3,51.3,50.61,50.99,657960,88.21601941199128,65.08480578364254
2023-05-24,50.99,51.05,50.43,50.55,465813,83.73516357942124,57.559118297076914
2023-05-25,50.49,51.86,50.37,51.73,1343692,85.22632964989607,68.18403769540818
2023-05-26,51.67,51.86,51.17,51.67,865789,85.87776311678064,67.26196591787291
2023-05-29,51.92,52.04,51.55,51.67,881263,86.23402545948836,67.26196591787291
2023-05-30,51.61,52.79,51.55,52.23,1662064,87.35873679584635,71.44230330315479
2023-05-31,52.36,52.36,51.67,52.29,840575,81.47063985000753,71.85694962039663
2023-06-01,52.23,52.23,51.67,51.92,538944,76.60639576482464,65.53749459134494
2023-06-02,51.92,52.42,51.67,52.11,738485,76.2961865342976,67.13583757554483
