time,open,high,low,close,volume,MFI,RSI
2023-03-13,15.95,16.21,15.83,15.98,20936991,33.04614121504174,49.23086308039192
2023-03-14,15.95,15.98,15.3,15.38,30875738,33.41754495308227,37.557505450324136
2023-03-15,15.76,16.14,15.61,16.14,26788560,43.81401393109957,52.818347948107224
2023-03-16,15.91,15.98,15.53,15.79,30255725,41.53746379822972,47.10835771740915
2023-03-17,15.95,15.95,15.45,15.45,33964905,41.092413672912116,42.32192932853525
2023-03-20,15.45,15.61,15.15,15.15,22998039,40.085083718516415,38.5956220294671
2023-03-21,15.3,15.57,15.04,15.49,19069859,40.12587793550718,44.55397183614435
2023-03-22,15.57,15.61,15.26,15.38,12862864,40.836651899755005,43.096931868688
2023-03-23,15.3,15.45,15.19,15.45,10748158,41.23140178561442,44.344272139489995
2023-03-24,15.49,15.53,15.38,15.45,13694808,45.23212192151792,44.344272139489995
2023-03-27,15.45,15.83,15.42,15.76,20275804,43.52785814721419,49.976221877400356
2023-03-28,15.83,15.91,15.68,15.68,12334554,42.766564340658014,48.609185032701326
2023-03-29,15.68,15.98,15.68,15.76,17949339,41.62504015721977,50.07973032453591
2023-03-30,15.91,16.02,15.72,15.76,20964474,49.11336266395678,50.07973032453592
2023-03-31,15.76,15.83,15.42,15.76,23777566,48.71645520259993,50.07973032453592
2023-04-03,15.95,15.98,15.79,15.91,21377967,57.79700607144818,53.21486437644423
2023-04-04,16.02,16.06,15.87,15.98,19873334,56.735835043746576,54.646336931816535
2023-04-05,15.98,16.29,15.87,16.29,25532123,67.1297286440891,60.42171526248358
2023-04-06,16.33,16.59,16.21,16.29,27853049,79.0450663710062,60.42171526248358
2023-04-07,16.29,16.36,15.98,16.06,18568535,80.03234954547673,54.45492536494505
2023-04-10,16.1,16.17,15.61,15.68,26557356,70.89515209121542,46.316763171931164
2023-04-11,15.68,15.79,15.61,15.76,14422264,65.87194203120173,48.07609435247814
2023-04-12,15.83,15.83,15.64,15.72,10644466,69.68515579609448,47.24242134084828
2023-04-13,15.76,15.76,15.42,15.49,14719996,64.56364140474217,42.661477344897996
2023-04-14,15.57,15.79,15.53,15.64,13612910,63.69402793937391,46.31745897424465
2023-04-17,15.61,15.83,15.61,15.79,9280313,63.278494576534364,49.76677696190571
2023-04-18,15.83,15.91,15.76,15.87,11576052,62.38369857476869,51.554646040207274
2023-04-19,15.95,15.95,15.76,15.76,10483969,56.601520216647394,48.9736094338412
2023-04-20,15.76,15.83,15.72,15.76,6553528,60.74275411799421,48.9736094338412
2023-04-21,15.76,15.79,15.68,15.68,11148137,53.921075711687905,46.989376272160705
2023-04-24,15.68,15.76,15.57,15.64,10579651,46.9180704644355,45.986119632441266
2023-04-25,15.76,16.1,15.68,15.95,18470293,44.98007274784344,54.15545004914362
2023-04-26,15.95,16.67,15.83,16.67,26830205,44.707091143768146,66.73834191795635
2023-04-27,16.67,16.67,16.36,16.44,17145094,53.742721224290406,60.9804513297192
