time,open,high,low,close,volume,MFI,RSI
2023-03-13,32.8,32.8,32.3,32.3,2900,12.01881664376377,39.417309888045345
2023-03-14,32.4,32.4,31.2,31.2,3000,14.362101255660207,33.43365232406535
2023-03-15,31.5,31.5,31.0,31.0,1011,17.78664337008864,32.46856882616542
2023-03-16,31.0,31.0,29.0,29.0,3007,5.490572173938503,24.768894253469952
2023-03-17,29.0,29.3,29.0,29.3,3300,6.577459772881312,27.544492283822194
2023-03-20,29.0,29.0,28.8,28.8,1200,10.37010412833618,25.833766916365136
2023-03-21,28.9,28.9,28.9,28.9,5,17.427648791343742,26.812795477935595
2023-03-22,29.2,30.5,29.2,30.5,1100,4.1049219346054,40.374794151719115
2023-03-23,30.0,31.9,30.0,31.5,16200,43.15901243249,46.98685455527661
2023-03-24,30.5,34.9,30.5,34.9,11100,61.55520808672528,62.29617547285685
2023-03-27,35.0,36.8,33.6,36.8,11615,70.6767716330885,67.87863642753328
2023-03-28,36.0,36.0,35.0,35.0,1900,72.61835498199645,58.97064564729114
2023-03-29,35.2,36.0,35.2,35.9,12400,77.89486369255143,61.678607947466695
2023-03-30,36.0,36.1,35.0,36.0,12115,77.67124118908171,61.978880067347525
2023-03-31,36.6,37.5,35.0,37.5,29700,87.3465040878711,66.25071316067164
2023-04-03,36.5,36.5,36.0,36.0,610,89.33423805356321,59.09982113330209
2023-04-04,36.0,37.5,36.0,37.5,16913,91.83762088309375,63.35896297028641
2023-04-05,36.1,38.0,36.1,37.0,27349,95.32912307548041,61.07583761973628
2023-04-06,37.3,38.5,37.0,38.5,25204,97.77898467594184,65.13483992124127
2023-04-07,37.7,39.0,37.7,38.5,67570,98.9036525959852,65.13483992124127
2023-04-10,39.0,40.1,39.0,39.0,1207,98.909999290971,66.4859030906625
2023-04-11,39.4,39.4,37.5,37.5,5205,96.5540957854661,59.08829396209808
2023-04-12,38.1,38.1,38.1,38.1,115,96.27875137759078,60.95950100309531
2023-04-13,38.0,38.9,38.0,38.0,1800,96.12974431111972,60.46313917286403
2023-04-14,38.0,38.0,38.0,38.0,405,95.69796635805368,60.46313917286403
2023-04-17,38.0,39.4,38.0,39.3,7053,96.73209492038109,64.78612233622147
2023-04-18,38.0,38.0,37.7,37.7,1900,95.53004204945303,56.58548318023962
2023-04-19,37.6,37.6,35.2,35.6,7263,92.06985570420709,47.997883377006715
2023-04-20,36.1,36.1,36.0,36.0,5520,87.82948654405685,49.56788229733949
2023-04-21,36.0,36.0,36.0,36.0,403,87.93400087098073,49.56788229733949
2023-04-24,36.0,36.0,34.8,34.8,1403,85.87325926292229,44.856048460981405
2023-04-25,34.1,35.0,33.6,33.6,4251,80.41909694681955,40.690542457455486
2023-04-26,35.9,35.9,33.9,33.9,200,75.70864396121436,42.1372167504565
2023-04-27,33.8,33.8,33.8,33.8,200,29.145940162719597,41.771462048983196
2023-04-28,34.0,34.0,33.8,34.0,1303,28.9741586530221,42.84009907512014
