time,open,high,low,close,volume,MFI,RSI
2023-03-13,12.54,12.73,12.54,12.64,3115026,35.791565290166304,38.1858277113692
2023-03-14,12.59,12.64,12.42,12.42,2471323,35.808791308232315,33.8477114169703
2023-03-15,12.66,12.94,12.66,12.85,2362248,44.583863933413106,46.613814116368324
2023-03-16,12.71,12.73,12.45,12.64,2663133,43.738322444915205,42.318640795841794
2023-03-17,12.66,12.8,12.57,12.59,1200567,49.10248311396698,41.34187242341408
2023-03-20,12.52,12.57,12.4,12.4,2287264,48.873425523594264,37.773911293403096
2023-03-21,12.52,12.57,12.33,12.45,1998513,42.32961686169395,39.25953616909391
2023-03-22,12.49,12.57,12.38,12.38,2472073,36.42492157918988,37.895466246939016
2023-03-23,12.38,12.45,12.21,12.38,2369382,35.95702165760309,37.895466246939016
2023-03-24,12.47,12.61,12.42,12.49,1956017,34.64401984229566,41.59386671627927
2023-03-27,12.49,12.61,12.45,12.52,1537765,32.88172527055306,42.59786263279261
2023-03-28,12.61,13.09,12.61,13.01,7665446,48.56589401610596,55.92472778115833
2023-03-29,13.01,13.37,12.99,13.23,5721469,51.867074599625745,60.373101868158656
2023-03-30,13.39,13.46,13.09,13.09,4899644,60.18687141755737,56.467441727783914
2023-03-31,13.13,13.42,13.13,13.39,7221142,70.4748914327447,62.1221950624655
2023-04-03,13.7,13.86,13.56,13.84,12425983,80.20313313880897,68.69172827002586
2023-04-04,13.84,13.94,13.72,13.94,7304774,81.93164731989253,69.93945293032385
2023-04-05,13.89,13.98,13.79,13.94,4330672,86.50143243278218,69.93945293032385
2023-04-06,13.86,14.27,13.86,13.98,7829889,87.8692387989977,70.48512283568483
2023-04-07,14.01,14.03,13.89,13.96,4095698,85.25301756828543,69.80284551227977
2023-04-10,14.01,14.55,13.98,14.27,5661649,88.50270873605747,74.00331496009235
2023-04-11,14.27,14.36,13.98,14.36,5210501,84.88812249194592,75.08680933298223
2023-04-12,14.36,14.62,14.22,14.5,4506702,88.0442985144,76.71272343627025
2023-04-13,14.46,14.62,14.27,14.27,3215262,84.1480368645354,68.77192928415622
2023-04-14,14.27,14.36,13.65,13.65,9437403,74.94989636637968,52.88112835753888
2023-04-17,13.7,13.91,13.58,13.91,3014955,70.18655749287171,57.333467800001884
2023-04-18,13.89,13.89,13.65,13.77,2554618,66.0261279011664,54.35513427982268
2023-04-19,13.79,13.89,13.7,13.7,2612668,61.88969532147276,52.876096747542014
2023-04-20,13.65,13.7,13.49,13.63,2314483,56.49825032578592,51.370741032109784
2023-04-21,13.7,13.7,13.56,13.56,2355180,47.95467580040478,49.84259425631188
2023-04-24,13.56,14.05,13.53,13.94,3483416,44.573547059996436,57.27313627516179
2023-04-25,14.01,14.1,13.7,13.7,2086772,38.688735462128335,52.03043388871683
2023-04-26,13.79,14.17,13.63,14.17,3239742,33.198213337883246,59.79257897629455
2023-04-27,14.27,14.27,14.1,14.12,2032454,38.71387242847404,58.704293922949816
2023-04-28,14.15,14.15,13.94,13.94,2478528,28.98092695443262,54.83492768487886
2023-05-04,13.94,13.94,13.65,13.72,1918703,31.290858588049517,50.45739262695079
2023-05-05,13.72,13.79,13.44,13.56,3438755,21.06676393475078,47.488189203674274
2023-05-08,13.65,13.89,13.56,13.89,2847866,28.165718399007986,53.55836525523268
2023-05-09,13.91,13.94,13.72,13.84,1990748,40.2256834525513,52.56685539368828
2023-05-10,13.86,13.89,13.75,13.84,2523530,40.80853940893122,52.56685539368829
2023-05-11,13.94,13.94,13.75,13.75,2515029,40.84698568554335,50.61091426079565
2023-05-12,13.75,13.84,13.7,13.84,2625716,40.8242034259519,52.51372910647124
2023-05-15,13.91,14.24,13.89,14.12,7337508,54.65576151567422,57.9425851300734
2023-05-16,14.22,14.22,14.05,14.08,2076312,57.010727218199904,56.941081306165756
2023-05-17,14.03,14.12,13.82,13.82,3660203,48.234204452167724,50.79530994898542
2023-05-18,13.82,14.03,13.82,13.96,3215893,54.60141268837577,53.69353237849262
2023-05-19,13.96,14.05,13.82,14.01,3398295,54.76559051509023,54.71933697820626
2023-05-22,14.03,14.46,14.03,14.41,9445317,61.71842944213094,61.976259644971705
2023-05-23,14.5,14.5,14.17,14.34,4206105,67.92672015904839,60.15921901138312
2023-05-24,14.36,14.43,14.05,14.08,4819842,64.17173977400927,53.84467456212499
2023-05-25,14.08,14.12,13.98,14.08,2522163,65.14105589713026,53.84467456212499
2023-05-26,14.12,14.15,14.01,14.12,1795228,64.47866428009516,54.693189198317455
2023-05-29,14.17,14.27,14.08,14.27,2766086,65.03890454586158,57.82441634102669
2023-05-30,14.36,14.38,14.17,14.27,2101794,69.51914438421908,57.82441634102669
2023-05-31,14.27,14.31,14.12,14.15,3945209,67.57970480326289,54.33999980237985
2023-06-01,14.17,14.31,14.05,14.31,4776838,73.43942691526824,57.976121118521874
2023-06-02,14.55,15.21,14.5,15.21,13801388,76.49895103962065,71.65150812278522
2023-06-05,15.33,15.49,15.07,15.07,5864033,77.96976768175348,67.94737665078473
2023-06-06,15.07,15.45,15.0,15.45,6001629,83.97923912969861,72.15509819775718
2023-06-07,15.38,15.47,15.21,15.4,4965709,84.46890103553413,70.83739653436604
2023-06-08,15.45,15.47,15.0,15.0,5742395,76.90042906970575,61.20735127101484
2023-06-09,15.02,15.35,14.93,15.31,5316162,75.66443314402073,65.1603437193915
2023-06-12,15.23,15.52,15.07,15.45,4137740,75.74093283786883,66.80545144788061
2023-06-13,15.45,15.54,15.31,15.49,3530343,82.21821599434347,67.28082979995438
2023-06-14,15.59,15.8,15.38,15.4,5375884,86.40134150608434,65.02442830764747
2023-06-15,15.4,15.54,15.31,15.42,3864497,81.34302425359789,65.30290593636386
2023-06-16,15.42,15.8,15.35,15.38,6929446,82.44501422840307,64.20190401401865
2023-06-19,15.38,15.38,15.09,15.16,3675383,78.09356415081392,58.37265766383006
2023-06-20,15.21,15.23,15.09,15.19,2085025,79.73985051229995,58.9203970814905
2023-06-21,15.19,15.35,15.16,15.35,2507595,79.2071814249567,61.80684828790557
2023-06-22,15.54,15.66,15.4,15.4,4396086,76.28982138263211,62.68913156203297
2023-06-23,15.42,15.71,15.38,15.54,4145302,75.68012263812507,65.118850566686
2023-06-26,15.54,15.73,15.38,15.73,4046015,74.9342219844552,68.15021051209439
2023-06-27,15.73,15.78,15.54,15.57,3666451,74.41479180109029,63.17147768936637
2023-06-28,15.57,15.73,15.47,15.73,4304207,83.57047537029203,65.85762617395622
2023-06-29,15.73,15.78,15.42,15.42,3540183,76.75856447930543,57.158894453603615
2023-06-30,15.42,15.49,15.28,15.28,2449372,71.58982686838165,53.70868538852276
2023-07-03,15.45,15.45,15.12,15.12,3754857,64.92355877795669,49.99452488407
2023-07-04,15.12,15.16,15.05,15.12,4327609,56.265072607054115,49.99452488407
2023-07-05,15.19,15.31,15.09,15.09,4324600,63.72110513956337,49.2538510935748
2023-07-06,15.09,15.14,14.74,14.9,6315105,51.65890480879131,44.733667577425756
2023-07-07,14.88,15.02,14.79,14.9,3275078,52.10897980750698,44.733667577425756
2023-07-10,15.12,15.16,14.97,15.12,4983713,58.22817448054797,50.797429145705316
2023-07-11,15.21,15.28,15.09,15.09,5709541,60.45018605071171,49.99193082523762
2023-07-12,15.07,15.12,14.93,14.95,4343800,53.105918230878295,46.3020322922218
2023-07-13,14.97,15.12,14.95,15.09,4413075,53.20954336498206,50.25605720880349
2023-07-14,15.21,15.21,14.97,15.09,4473993,53.43291761170996,50.25605720880349
2023-07-17,15.16,15.16,15.02,15.07,3653751,47.244503210712644,49.65033284381553
2023-07-18,15.07,15.26,15.02,15.26,6509554,49.01413573328716,55.17736852534827
2023-07-19,15.42,15.54,15.23,15.26,5558188,56.285470396973714,55.17736852534827
2023-07-20,15.31,15.31,15.02,15.07,5265302,53.94231903743375,48.94601526516227
2023-07-21,15.05,15.26,15.05,15.26,5206964,60.456235132555996,54.48193588860808
2023-07-24,15.33,15.35,15.19,15.33,4833172,67.05890579547561,56.359434822272625
2023-07-25,15.49,15.97,15.45,15.83,13271626,71.04742499940542,66.87088062321058
2023-07-26,15.83,15.85,15.68,15.8,3414460,78.26253478195386,65.8460833292036
2023-07-27,15.75,15.8,15.45,15.64,7799655,73.56354461680117,60.51915115882877
2023-07-28,15.61,15.97,15.59,15.97,5632095,73.86536291995448,66.53288421587325
2023-07-31,16.11,16.34,16.06,16.2,7650937,74.63617310289402,69.96657445607198
2023-08-01,16.34,16.34,16.06,16.06,8661063,70.48431180281669,65.5574746807421
2023-08-02,16.01,16.11,15.94,16.01,4645959,65.15269446517297,64.00613266575292
2023-08-03,16.06,16.08,15.83,15.83,4172633,60.207620890369476,58.62747716298329
2023-08-04,15.9,16.16,15.8,15.87,12324057,67.67206874765292,59.44309942184178
2023-08-07,16.16,16.27,16.06,16.23,5258291,67.37244909967153,65.94933590170922
2023-08-08,16.25,16.3,16.04,16.06,5540784,61.4326679527095,60.9748634867945
2023-08-09,16.08,16.16,15.97,16.06,4669626,61.62688856546402,60.9748634867945
2023-08-10,16.06,16.08,15.83,15.83,6167335,55.55823606576642,54.52194443075257
2023-08-11,15.85,15.97,15.64,15.9,5908847,49.96410060051605,56.04653553201704
2023-08-14,15.94,15.97,15.8,15.97,4575286,45.025823127221884,57.5780693997894
2023-08-15,16.01,16.25,15.99,16.08,4612576,45.82746747189395,59.94029087150747
2023-08-16,16.06,16.7,16.04,16.68,13200378,57.434847870943656,69.81397722923248
2023-08-17,16.68,16.68,16.39,16.39,5309921,57.3867641280101,61.875751350483114
2023-08-18,16.32,16.32,15.33,15.35,13224652,46.50318596767103,42.995006718356095
