time,open,high,low,close,volume,MFI,RSI
2023-03-13,51.73,51.73,51.06,51.45,759814,36.2988123033257,37.194789677469274
2023-03-14,51.17,51.28,50.89,51.17,864241,36.900312663120346,34.28493512484194
2023-03-15,51.5,51.73,51.22,51.39,808217,44.9730014954828,38.36498976829091
2023-03-16,51.17,51.73,50.32,51.17,806313,44.32571956410623,35.960559626314264
2023-03-17,51.17,51.22,50.04,50.04,2272490,34.52243812177082,26.703299780385734
2023-03-20,50.04,50.32,47.85,47.85,1035307,29.163479479261994,17.370405809478243
2023-03-21,48.02,50.55,48.02,48.64,1058061,35.99437102490684,27.248256677058293
2023-03-22,48.69,50.55,48.69,50.04,1056346,36.09281389358383,40.762942409272874
2023-03-23,49.93,51.0,49.09,51.0,850122,42.08832926007493,47.908806258178544
2023-03-24,51.17,51.17,49.99,50.04,630688,46.92557058603122,42.4005130025201
2023-03-27,50.04,51.17,49.48,51.17,730499,45.90769341745534,49.727480263381956
2023-03-28,51.06,52.24,50.66,51.62,846797,52.36995537134307,52.3281567641172
2023-03-29,52.01,52.01,50.89,51.9,423348,49.770414262942005,53.925316103928985
2023-03-30,51.9,52.4,51.73,52.12,411004,54.344281599964354,55.19547345622705
2023-03-31,52.18,52.4,50.89,51.39,951283,53.50168641115602,50.24576636545145
2023-04-03,51.56,52.24,51.28,52.18,737481,59.995570205422105,54.953638596073716
2023-04-04,52.18,52.24,51.5,51.73,270521,55.89284948240564,51.93884869991755
2023-04-05,51.9,51.9,51.22,51.79,336349,58.16171068033967,52.314487523852705
2023-04-06,51.45,51.79,51.28,51.28,376788,69.43211053100087,48.82154506982089
2023-04-07,51.17,51.22,50.32,50.61,747860,71.2388399846646,44.60778836077945
2023-04-10,50.61,50.61,50.04,50.04,639645,63.00173144176323,41.338889528798504
2023-04-11,50.04,50.61,49.59,49.59,752232,53.29545254693583,38.91438341591314
2023-04-12,49.65,49.82,49.48,49.65,518806,45.39912076715607,39.424518010087844
2023-04-13,49.65,49.76,49.37,49.59,491499,38.627793259664486,39.07311254976604
2023-04-14,49.65,50.1,49.59,49.71,415311,36.15006079104474,40.22075659117778
2023-04-17,49.71,49.76,49.37,49.71,489420,26.61323835025516,40.22075659117779
