time,open,high,low,close,volume,MFI,RSI
2023-03-13,11.78,12.19,11.78,11.94,18676853,46.124116341097825,49.31792713361119
2023-03-14,11.98,12.02,11.49,11.53,14939951,49.347614431146894,41.40899236732477
2023-03-15,12.02,12.31,11.86,12.31,29520431,63.968163672993384,55.89870947372138
2023-03-16,12.27,12.43,12.15,12.19,25321197,70.96050433270273,53.69850783388391
2023-03-17,12.48,12.48,12.11,12.35,20473319,79.26879153225693,56.175372921828824
2023-03-20,12.23,12.35,11.82,11.82,20872928,71.26803220402039,47.17327099489638
2023-03-21,12.02,12.19,11.73,12.19,17545119,71.62362642176046,52.8534079268964
2023-03-22,12.27,12.43,12.15,12.19,16262166,72.49911627144634,52.8534079268964
2023-03-23,12.06,12.56,12.02,12.48,22034432,78.24615066348234,57.051207366830674
2023-03-24,12.6,12.81,12.52,12.6,27501270,79.52720022670664,58.690255907873244
2023-03-27,12.64,13.01,12.52,12.72,20671932,80.15150753063031,60.321001601262886
2023-03-28,12.85,12.89,12.56,12.56,18532181,73.03326326084935,57.085208482139564
2023-03-29,12.56,12.76,12.48,12.68,15982527,66.86688508268122,58.86736043056012
2023-03-30,12.93,12.97,12.52,12.56,23380638,74.45727569158645,56.34738574719663
2023-03-31,12.56,12.85,12.43,12.76,29056850,67.12635017171962,59.46208724404653
2023-04-03,13.13,13.18,12.93,13.09,34681678,73.7446994443558,64.02344723422007
2023-04-04,13.09,13.51,12.93,13.34,40440157,74.8533632517882,67.04841037835126
2023-04-05,13.26,13.42,13.13,13.34,18895836,74.49428347151519,67.04841037835126
2023-04-06,13.42,13.59,12.89,12.89,35824848,64.98022333469834,57.03692503395755
2023-04-07,12.89,13.09,12.81,13.01,26887428,63.546175500181135,58.80346760521617
2023-04-10,13.26,13.55,13.01,13.09,35577401,65.54913097686493,59.98473408963012
2023-04-11,13.09,13.18,12.81,13.09,26665091,59.45424023527888,59.98473408963012
2023-04-12,13.09,13.18,12.85,12.85,19424980,54.083665711777485,54.54323302482938
2023-04-13,12.89,12.97,12.43,12.52,30570863,46.53051303748807,48.084196698029004
2023-04-14,12.6,12.68,12.23,12.23,28533358,40.38817553209902,43.238399832057816
2023-04-17,12.23,12.39,12.11,12.27,10502292,41.26896345108576,44.075564945546304
2023-04-18,12.35,12.6,12.27,12.52,16181067,45.41819585675555,49.12587609671604
2023-04-19,12.6,12.64,12.23,12.27,13744806,40.3703247597362,44.77171087802288
2023-04-20,12.27,12.31,12.19,12.23,7250525,42.903028745176606,44.098237406973176
