time,open,high,low,close,volume
2023-02-21,41.51,41.57,41.18,41.57,28807
2023-02-22,41.01,41.57,40.95,41.57,12050
2023-02-23,41.23,41.57,40.78,41.18,7700
2023-02-24,41.12,41.51,41.01,41.51,24922
2023-02-27,40.73,41.4,35.9,40.28,41535
2023-02-28,41.18,41.29,40.45,40.45,20110
2023-03-01,41.01,41.01,40.17,40.73,23330
2023-03-02,40.73,40.73,40.45,40.45,39204
2023-03-03,40.45,40.5,38.76,38.76,98800
2023-03-06,39.32,39.83,38.76,39.32,108357
2023-03-07,39.32,39.32,38.76,38.76,18700
2023-03-08,38.99,39.1,38.76,38.76,13826
2023-03-09,38.76,38.87,38.76,38.76,7250
2023-03-10,38.87,38.87,38.26,38.26,15705
2023-03-13,38.31,38.54,38.2,38.2,12621
2023-03-14,38.26,38.26,37.41,37.69,8906
2023-03-15,37.64,38.31,37.64,38.26,5808
2023-03-16,37.69,37.92,37.58,37.64,9200
2023-03-17,37.64,38.2,37.64,38.03,2110
2023-03-20,37.64,37.64,37.58,37.58,5933
2023-03-21,37.64,37.64,37.08,37.41,10900
2023-03-22,37.41,39.32,37.41,37.41,13301
2023-03-23,37.24,37.24,37.08,37.08,5306
2023-03-24,37.19,37.19,36.79,36.79,15514
2023-03-27,36.96,36.96,36.51,36.51,32326
2023-03-28,36.63,36.79,36.51,36.51,12695
2023-03-29,36.51,36.51,36.35,36.35,9102
2023-03-30,36.51,37.64,36.51,36.79,24803
2023-03-31,36.96,37.08,36.85,36.91,4400
2023-04-03,38.7,38.7,37.02,37.41,9200
2023-04-04,37.36,37.36,36.79,37.08,10800
2023-04-05,37.41,37.92,37.41,37.47,7120
2023-04-06,37.53,37.64,37.13,37.13,15007
2023-04-07,37.08,37.19,36.85,36.96,9600
2023-04-10,36.79,37.02,36.51,36.57,17000
2023-04-11,36.57,37.08,36.51,36.51,6700
2023-04-12,36.91,37.58,36.91,37.58,18400
2023-04-13,36.51,37.36,36.51,37.36,8025
2023-04-14,36.79,37.13,36.68,36.68,4500
2023-04-17,36.68,36.74,36.46,36.74,5709
2023-04-18,36.57,36.68,36.46,36.51,10800
2023-04-19,36.4,36.51,36.06,36.06,41141
2023-04-20,36.29,36.35,36.06,36.12,28402
2023-04-21,36.23,36.29,36.18,36.23,92500
2023-04-24,36.23,36.46,36.23,36.23,71613
2023-04-25,36.23,36.23,35.95,36.18,22000
2023-04-26,36.12,36.12,35.39,35.45,22040
2023-04-27,35.39,35.95,34.32,34.32,30542
